	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 8.c3d	Static.c3d
	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y
1	2.47	2.84	0.71	2.26	1.99	1.96
2	2.70	3.02	0.91	2.51	2.17	1.96
3	2.99	3.26	1.21	2.83	2.43	1.96
4	3.35	3.57	1.61	3.23	2.78	1.96
5	3.77	3.93	2.09	3.68	3.19	1.96
6	4.20	4.33	2.62	4.17	3.66	1.96
7	4.64	4.73	3.17	4.66	4.13	1.96
8	5.06	5.12	3.70	5.12	4.60	1.96
9	5.44	5.47	4.19	5.53	5.03	1.96
10	5.78	5.77	4.63	5.89	5.42	1.96
11	6.07	6.01	5.02	6.20	5.75	1.96
12	6.30	6.18	5.36	6.45	6.03	1.96
13	6.47	6.28	5.68	6.65	6.25	1.96
14	6.59	6.32	5.96	6.79	6.41	1.96
15	6.67	6.30	6.21	6.87	6.51	1.96
16	6.71	6.23	6.40	6.89	6.54	1.96
17	6.72	6.12	6.55	6.85	6.52	1.96
18	6.70	5.98	6.62	6.77	6.44	1.96
19	6.66	5.81	6.64	6.64	6.33	1.96
20	6.62	5.62	6.59	6.48	6.19	1.96
21	6.57	5.42	6.50	6.30	6.03	1.96
22	6.51	5.21	6.36	6.11	5.86	1.96
23	6.47	5.01	6.20	5.91	5.68	1.96
24	6.44	4.80	6.02	5.71	5.49	1.96
25	6.42	4.61	5.82	5.51	5.31	1.96
26	6.43	4.44	5.61	5.32	5.12	1.96
27	6.45	4.30	5.40	5.15	4.94	1.96
28	6.49	4.17	5.17	4.99	4.77	1.96
29	6.54	4.07	4.96	4.85	4.62	1.96
30	6.61	4.00	4.75	4.72	4.49	1.96
31	6.68	3.94	4.55	4.62	4.37	1.96
32	6.76	3.90	4.38	4.53	4.28	1.96
33	6.83	3.87	4.23	4.45	4.20	1.96
34	6.91	3.86	4.11	4.40	4.15	1.96
35	6.97	3.86	4.00	4.35	4.11	1.95
36	7.02	3.87	3.91	4.32	4.08	1.95
37	7.06	3.89	3.84	4.31	4.07	1.95
38	7.07	3.93	3.79	4.30	4.08	1.95
39	7.06	3.97	3.75	4.31	4.09	1.95
40	7.03	4.01	3.72	4.32	4.12	1.95
41	6.97	4.06	3.71	4.33	4.15	1.95
42	6.88	4.08	3.69	4.33	4.18	1.95
43	6.77	4.09	3.68	4.31	4.21	1.95
44	6.63	4.05	3.65	4.27	4.21	1.95
45	6.45	3.98	3.60	4.19	4.19	1.95
46	6.24	3.85	3.53	4.07	4.13	1.95
47	5.99	3.66	3.41	3.89	4.02	1.95
48	5.68	3.41	3.24	3.65	3.85	1.95
49	5.33	3.11	3.01	3.34	3.63	1.95
